---- Minecraft Profiler Results ----
// Speedy. Zoooooom!

[07]        unspecified - 65.65%/0.00%
[07]        getBrightness - 31.22%/0.00%
[07]        checkedPosition < toCheckCount - 3.12%/0.00%
[05]      unspecified - 3.23%/2.27%
[05]      remove - 0.26%/0.18%
[04]     blockEntities - 0.23%/0.16%
[04]     unspecified - 0.14%/0.10%
[04]     remove - 0.04%/0.03%
[04]     global - 0.00%/0.00%
[04]     pendingBlockEntities - 0.00%/0.00%
[03]    tickBlocks - 17.82%/16.67%
[04]     unspecified - 38.27%/6.38%
[04]     tickBlocks - 21.61%/3.60%
[05]      unspecified - 99.97%/3.60%
[05]      checkLight - 0.03%/0.00%
[06]       unspecified - 76.50%/0.00%
[06]       getBrightness - 23.50%/0.00%
[06]       checkedPosition < toCheckCount - 0.00%/0.00%
[04]     buildList - 21.57%/3.60%
[04]     getChunk - 10.47%/1.75%
[04]     iceandsnow - 2.11%/0.35%
[04]     checkLight - 1.56%/0.26%
[04]     thunder - 1.28%/0.21%
[04]     tickChunk - 1.17%/0.20%
[04]     moodSound - 1.02%/0.17%
[04]     playerCheckLight - 0.94%/0.16%
[05]      unspecified - 81.75%/0.13%
[05]      getBrightness - 17.31%/0.03%
[05]      checkedPosition < toCheckCount - 0.94%/0.00%
[03]    chunkSource - 3.67%/3.43%
[03]    mobSpawner - 2.21%/2.07%
[03]    unspecified - 0.38%/0.36%
[03]    village - 0.38%/0.35%
[03]    tickPending - 0.14%/0.13%
[04]     unspecified - 82.90%/0.11%
[04]     ticking - 13.85%/0.02%
[04]     cleaning - 3.25%/0.00%
[03]    chunkMap - 0.03%/0.02%
[03]    portalForcer - 0.02%/0.02%
[02]   tracker - 1.54%/1.47%
[02]   unspecified - 0.17%/0.16%
[02]   pools - 0.03%/0.03%
[02]   timeSync - 0.02%/0.02%
[01]  unspecified - 0.29%/0.28%
[00] connection - 5.26%/5.26%
[01]  travel - 77.31%/4.10%
[02]   move - 93.86%/3.85%
[02]   unspecified - 4.49%/0.18%
[02]   rest - 1.65%/0.07%
[01]  unspecified - 16.93%/0.90%
[01]  entityBaseTick - 1.42%/0.08%
[02]   unspecified - 91.85%/0.07%
[02]   portal - 8.15%/0.01%
[01]  livingEntityBaseTick - 1.19%/0.06%
[01]  move - 0.94%/0.05%
[01]  rest - 0.83%/0.04%
[01]  ai - 0.50%/0.03%
[02]   unspecified - 74.67%/0.02%
[02]   oldAi - 25.33%/0.01%
[01]  headTurn - 0.38%/0.02%
[01]  push - 0.34%/0.02%
[01]  keepAlive - 0.07%/0.00%
[01]  playerTick - 0.04%/0.00%
[01]  rangeChecks - 0.03%/0.00%
[01]  jump - 0.02%/0.00%
[00] tickables - 0.06%/0.06%
[00] players - 0.01%/0.01%
[00] snooper - 0.00%/0.00%
[00] tallying - 0.00%/0.00%
--- END PROFILE DUMP ---

